"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_register[case_info1]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestRegister","test_register","",""
"","0","test_login[case_info5]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","0","test_register[case_info2]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestRegister","test_register","",""
"","9551","申请失败","testcases","Tue Dec 16 22:08:30 CST 2025","failed","Tue Dec 16 22:08:40 CST 2025","TestDistributor","test_distributor","",""
"","0","test_register[case_info4]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestRegister","test_register","",""
"","0","test_login[case_info0]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","0","test_register[case_info3]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestRegister","test_register","",""
"","0","test_register[case_info5]","testcases","Tue Dec 16 22:08:45 CST 2025","skipped","Tue Dec 16 22:08:45 CST 2025","TestRegister","test_register","",""
"","10538","申请成功","testcases","Tue Dec 16 22:08:29 CST 2025","passed","Tue Dec 16 22:08:40 CST 2025","TestDistributor","test_distributor","",""
"","0","test_login[case_info6]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","0","test_login[case_info3]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","7386","申请失败","testcases","Tue Dec 16 22:08:30 CST 2025","passed","Tue Dec 16 22:08:37 CST 2025","TestDistributor","test_distributor","",""
"","0","test_login[case_info1]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","0","test_login[case_info2]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","5734","申请失败","testcases","Tue Dec 16 22:08:32 CST 2025","passed","Tue Dec 16 22:08:37 CST 2025","TestDistributor","test_distributor","",""
"","0","test_login[case_info4]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestLogin","test_login","",""
"","0","test_register[case_info0]","testcases","Tue Dec 16 22:08:19 CST 2025","skipped","Tue Dec 16 22:08:19 CST 2025","TestRegister","test_register","",""
